Version: Taxi Continuous/Discontinuous v4.1.9735.16533
TriggerVersion: v4
TaskType: Discontinuous
MazeName: DTL Cam
NumberOfTrials: 1
PosterLocations: 
CompletionWindow: 60000
TimeoutDuration: 10000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 5
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: True
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: True
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 
 0 0.04673230 -12.8900 0.0600 90.0000
 0 0.03333180 -12.8900 0.0600 90.0000
 0 0.03731360 -12.8900 0.0600 90.0000
 0 0.03385210 -12.8900 0.0600 90.0000
 0 0.03505170 -12.8900 0.0600 90.0000
 0 0.03816210 -12.8900 0.0600 90.0000
 0 0.03191280 -12.8900 0.0600 90.0000
 0 0.02803060 -12.8900 0.0600 90.0000
 0 0.06131050 -12.8900 0.0600 90.0000
 0 0.01201320 -12.8900 0.0600 90.0000
 0 0.01050500 -12.8900 0.0600 90.0000
 0 0.01734310 -12.8900 0.0600 90.0000
 0 0.08740910 -12.8900 0.0600 90.0000
 21 0.04559230 -12.8900 0.0600 90.0000
 0 0.03557040 -12.8900 0.0600 90.0000
 0 0.06260210 -12.8900 0.0600 90.0000
 0 0.01620310 -12.8900 0.0600 90.0000
 0 0.01744900 -12.8900 0.0600 90.0000
 0 0.01768350 -12.8900 0.0600 90.0000
 0 0.00958420 -12.8900 0.0600 90.0000
 0 0.01584730 -12.8900 0.0600 90.0000
 0 0.00946420 -12.8900 0.0600 90.0000
 0 0.02063240 -12.8900 0.0600 90.0000
 0 0.01089740 -12.8900 0.0600 90.0000
 0 0.01069880 -12.8900 0.0600 90.0000
 0 0.01012810 -12.8900 0.0600 90.0000
 0 0.01190690 -12.8900 0.0600 90.0000
 0 0.01063150 -12.8900 0.0600 90.0000
 0 0.01243150 -12.8900 0.0600 90.0000
 0 0.00992050 -12.8900 0.0600 90.0000
 0 0.01048960 -12.8900 0.0600 90.0000
 0 0.01127420 -12.8900 0.0600 90.0000
 0 0.01058450 -12.8900 0.0600 90.0000
 0 0.01203200 -12.8900 0.0600 90.0000
 0 0.01213630 -12.8900 0.0600 90.0000
 0 0.01140370 -12.8900 0.0600 90.0000
 0 0.01101680 -12.8900 0.0600 90.0000
 0 0.01301380 -12.8900 0.0600 90.0000
 0 0.01216670 -12.8900 0.0600 90.0000
 0 0.01164830 -12.8900 0.0600 90.0000
 0 0.01256860 -12.8900 0.0600 90.0000
 0 0.01159550 -12.8900 0.0600 90.0000
 0 0.01123370 -12.8900 0.0600 90.0000
 0 0.01138970 -12.8900 0.0600 90.0000
 0 0.01021650 -12.8900 0.0600 90.0000
 0 0.01183050 -12.8900 0.0600 90.0000
 0 0.01258570 -12.8900 0.0600 90.0000
 0 0.01147710 -12.8900 0.0600 90.0000
 0 0.01026880 -12.8900 0.0600 90.0000
 0 0.01069520 -12.8900 0.0600 90.0000
 0 0.01111250 -12.8900 0.0600 90.0000
 0 0.01230170 -12.8900 0.0600 90.0000
 0 0.01192070 -12.8900 0.0600 90.0000
 0 0.01137010 -12.8900 0.0600 90.0000
 0 0.01507760 -12.8900 0.0600 90.0000
 0 0.01154460 -12.8900 0.0600 90.0000
 0 0.00986800 -12.8900 0.0600 90.0000
 0 0.01220070 -12.8900 0.0600 90.0000
 0 0.01132670 -12.8900 0.0600 90.0000
 0 0.01089990 -12.8900 0.0600 90.0000
 0 0.00989540 -12.8900 0.0600 90.0000
 0 0.01100910 -12.8900 0.0600 90.0000
 0 0.01137970 -12.8900 0.0600 90.0000
 0 0.01010250 -12.8900 0.0600 90.0000
 0 0.01154290 -12.8900 0.0600 90.0000
 0 0.01141380 -12.8900 0.0600 90.0000
 0 0.01216560 -12.8900 0.0600 90.0000
 0 0.01115630 -12.8900 0.0600 90.0000
 0 0.01263740 -12.8900 0.0600 90.0000
 0 0.01058870 -12.8900 0.0600 90.0000
 0 0.01078940 -12.8900 0.0600 90.0000
 0 0.01099280 -12.8900 0.0600 90.0000
 0 0.01122180 -12.8900 0.0600 90.0000
 0 0.01113330 -12.8900 0.0600 90.0000
 0 0.01157450 -12.8900 0.0600 90.0000
 0 0.01047880 -12.8900 0.0600 90.0000
 0 0.01114280 -12.8900 0.0600 90.0000
 0 0.01056610 -12.8900 0.0600 90.0000
 0 0.00968720 -12.8900 0.0600 90.0000
 0 0.01113560 -12.8900 0.0600 90.0000
 0 0.01090010 -12.8900 0.0600 90.0000
 0 0.01101060 -12.8900 0.0600 90.0000
 0 0.01162570 -12.8900 0.0600 90.0000
 0 0.01039910 -12.8900 0.0600 90.0000
 0 0.01133320 -12.8900 0.0600 90.0000
 0 0.01003980 -12.8900 0.0600 90.0000
 0 0.01038270 -12.8900 0.0600 90.0000
 0 0.00912380 -12.8900 0.0600 90.0000
 0 0.01090770 -12.8900 0.0600 90.0000
 0 0.02614790 -12.8900 0.0600 90.0000
 0 0.01028520 -12.8900 0.0600 90.0000
 0 0.01816370 -12.8900 0.0600 90.0000
 0 0.01036690 -12.8900 0.0600 90.0000
 0 0.01122660 -12.8900 0.0600 90.0000
 0 0.01057050 -12.8900 0.0600 90.0000
 0 0.01192160 -12.8900 0.0600 90.0000
 0 0.01102490 -12.8900 0.0600 90.0000
 0 0.01034160 -12.8900 0.0600 90.0000
 0 0.01130910 -12.8900 0.0600 90.0000
 0 0.01061330 -12.8900 0.0600 90.0000
 0 0.01070340 -12.8900 0.0600 90.0000
 0 0.00964400 -12.8900 0.0600 90.0000
 0 0.01114080 -12.8900 0.0600 90.0000
 0 0.01157560 -12.8900 0.0600 90.0000
 0 0.00983650 -12.8900 0.0600 90.0000
 0 0.01047780 -12.8900 0.0600 90.0000
 0 0.01045280 -12.8900 0.0600 90.0000
 0 0.00994550 -12.8900 0.0600 90.0000
 0 0.01064190 -12.8900 0.0600 90.0000
 0 0.01074630 -12.8900 0.0600 90.0000
 0 0.07926530 -12.8900 0.0600 90.0000
 0 0.09282390 -12.8900 0.0600 90.0000
 0 0.02244290 -12.8900 0.0600 90.0000
 0 0.01197940 -12.8900 0.0600 90.0000
 0 0.01239710 -12.8900 0.0600 90.0000
 0 0.01389440 -12.8900 0.0600 90.0000
 0 0.01072590 -12.8900 0.0600 90.0000
 0 0.01198390 -12.8900 0.0600 90.0000
 0 0.01116930 -12.8900 0.0600 90.0000
 0 0.01028190 -12.8900 0.0600 90.0000
 0 0.01108640 -12.8900 0.0600 90.0000
 0 0.01298790 -12.8900 0.0600 90.0000
 0 0.01167560 -12.8900 0.0600 90.0000
 0 0.01117190 -12.8900 0.0600 90.0000
 0 0.01099500 -12.8900 0.0600 90.0000
 0 0.01017670 -12.8900 0.0600 90.0000
 0 0.01026060 -12.8900 0.0600 90.0000
 0 0.00932740 -12.8900 0.0600 90.0000
 0 0.01024590 -12.8900 0.0600 90.0000
 0 0.01192390 -12.8900 0.0600 90.0000
 0 0.01111080 -12.8900 0.0600 90.0000
 0 0.01077020 -12.8900 0.0600 90.0000
 0 0.01110270 -12.8900 0.0600 90.0000
 0 0.01113050 -12.8900 0.0600 90.0000
 0 0.01016040 -12.8900 0.0600 90.0000
 0 0.01089960 -12.8900 0.0600 90.0000
 0 0.00962200 -12.8900 0.0600 90.0000
 0 0.01177160 -12.8900 0.0600 90.0000
 0 0.01175500 -12.8900 0.0600 90.0000
 0 0.01100020 -12.8900 0.0600 90.0000
 0 0.01093650 -12.8900 0.0600 90.0000
 0 0.01029250 -12.8900 0.0600 90.0000
 0 0.00995200 -12.8900 0.0600 90.0000
 0 0.01256290 -12.8900 0.0600 90.0000
 0 0.01102630 -12.8900 0.0600 90.0000
 0 0.01130070 -12.8900 0.0600 90.0000
 0 0.01277460 -12.8900 0.0600 90.0000
 0 0.01089280 -12.8900 0.0600 90.0000
 0 0.01089230 -12.8900 0.0600 90.0000
 0 0.01128040 -12.8900 0.0600 90.0000
 0 0.01606350 -12.8900 0.0600 90.0000
 0 0.01051970 -12.8900 0.0600 90.0000
 0 0.01091890 -12.8900 0.0600 90.0000
 0 0.01131430 -12.8900 0.0600 90.0000
 0 0.01144680 -12.8900 0.0600 90.0000
 0 0.03055550 -12.8900 0.0600 90.0000
 0 0.01073150 -12.8900 0.0600 90.0000
 0 0.01279280 -12.8900 0.0600 90.0000
 0 0.01133050 -12.8900 0.0600 90.0000
 0 0.01043900 -12.8900 0.0600 90.0000
 0 0.01134620 -12.8900 0.0600 90.0000
 0 0.01056290 -12.8900 0.0600 90.0000
 0 0.01186990 -12.8900 0.0600 90.0000
 0 0.01218510 -12.8900 0.0600 90.0000
 0 0.01137320 -12.8900 0.0600 90.0000
 0 0.01146600 -12.8900 0.0600 90.0000
 0 0.01096450 -12.8900 0.0600 90.0000
 0 0.01072380 -12.8900 0.0600 90.0000
 0 0.01120550 -12.8900 0.0600 90.0000
 0 0.01283720 -12.8900 0.0600 90.0000
 0 0.01017920 -12.8900 0.0600 90.0000
 0 0.01126830 -12.8900 0.0600 90.0000
 0 0.01183540 -12.8900 0.0600 90.0000
 0 0.01107890 -12.8900 0.0600 90.0000
 0 0.01679290 -12.8900 0.0600 90.0000
 0 0.00983900 -12.8900 0.0600 90.0000
 0 0.01302660 -12.8900 0.0600 90.0000
 0 0.01210480 -12.8900 0.0600 90.0000
 0 0.02193970 -12.8900 0.0600 90.0000
 0 0.01130380 -12.8900 0.0600 90.0000
 0 0.01139970 -12.8900 0.0600 90.0000
 0 0.01187370 -12.8900 0.0600 90.0000
 0 0.01109090 -12.8900 0.0600 90.0000
 0 0.01152280 -12.8900 0.0600 90.0000
 0 0.01244000 -12.8900 0.0600 90.0000
 0 0.01156150 -12.8900 0.0600 90.0000
 0 0.01153150 -12.8900 0.0600 90.0000
 0 0.01089120 -12.8900 0.0600 90.0000
 0 0.01023570 -12.8900 0.0600 90.0000
 0 0.01259870 -12.8900 0.0600 90.0000
 0 0.01306540 -12.8900 0.0600 90.0000
 0 0.01086850 -12.8900 0.0600 90.0000
 0 0.01063860 -12.8900 0.0600 90.0000
 0 0.01007920 -12.8900 0.0600 90.0000
 0 0.01232300 -12.8900 0.0600 90.0000
 0 0.01153080 -12.8900 0.0600 90.0000
 0 0.01132290 -12.8900 0.0600 90.0000
 0 0.01205570 -12.8900 0.0600 90.0000
 0 0.01075110 -12.8900 0.0600 90.0000
 0 0.01106660 -12.8900 0.0600 90.0000
 0 0.00956220 -12.8900 0.0600 90.0000
 0 0.01098390 -12.8900 0.0600 90.0000
 0 0.01090490 -12.8900 0.0600 90.0000
 0 0.01142050 -12.8900 0.0600 90.0000
 0 0.01066960 -12.8900 0.0600 90.0000
 0 0.01281960 -12.8900 0.0600 90.0000
 0 0.01134730 -12.8900 0.0600 90.0000
 0 0.00983390 -12.8900 0.0600 90.0000
 0 0.01241960 -12.8900 0.0600 90.0000
 0 0.01229940 -12.8900 0.0600 90.0000
 0 0.01130550 -12.8900 0.0600 90.0000
 0 0.01135600 -12.8900 0.0600 90.0000
 0 0.01245580 -12.8900 0.0600 90.0000
 0 0.01182150 -12.8900 0.0600 90.0000
 0 0.01084800 -12.8900 0.0600 90.0000
 0 0.01704010 -12.8900 0.0600 90.0000
 0 0.01744730 -12.8900 0.0600 90.0000
 0 0.01177510 -12.8900 0.0600 90.0000
 0 0.00988330 -12.8900 0.0600 90.0000
 0 0.01049060 -12.8900 0.0600 90.0000
 0 0.01092950 -12.8900 0.0600 90.0000
 0 0.01045620 -12.8900 0.0600 90.0000
 0 0.01110320 -12.8900 0.0600 90.0000
 0 0.01541180 -12.8900 0.0600 90.0000
 0 0.01663990 -12.8900 0.0600 90.0000
 0 0.01100490 -12.8900 0.0600 90.0000
 0 0.01327750 -12.8900 0.0600 90.0000
 0 0.01675720 -12.8900 0.0600 90.0000
 0 0.01057010 -12.8900 0.0600 90.0000
 0 0.00975350 -12.8900 0.0600 90.0000
 0 0.01087230 -12.8900 0.0600 90.0000
 0 0.01023610 -12.8900 0.0600 90.0000
 0 0.01016670 -12.8900 0.0600 90.0000
 0 0.01122250 -12.8900 0.0600 90.0000
 0 0.01235330 -12.8900 0.0600 90.0000
 0 0.01107900 -12.8900 0.0600 90.0000
 0 0.01466130 -12.8900 0.0600 90.0000
 0 0.01628890 -12.8900 0.0600 90.0000
 0 0.01692600 -12.8900 0.0600 90.0000
 0 0.01597380 -12.8900 0.0600 90.0000
 0 0.01551350 -12.8900 0.0600 90.0000
 0 0.01293790 -12.8900 0.0600 90.0000
 0 0.01029840 -12.8900 0.0600 90.0000
 0 0.01054620 -12.8900 0.0600 90.0000
 0 0.01040610 -12.8900 0.0600 90.0000
 0 0.01157910 -12.8900 0.0600 90.0000
 0 0.01134540 -12.8900 0.0600 90.0000
 0 0.01153220 -12.8900 0.0600 90.0000
 0 0.01051480 -12.8900 0.0600 90.0000
 0 0.01086420 -12.8900 0.0600 90.0000
 0 0.01164780 -12.8900 0.0600 90.0000
 0 0.01071790 -12.8900 0.0600 90.0000
 0 0.01180120 -12.8900 0.0600 90.0000
 0 0.01111090 -12.8900 0.0600 90.0000
